,Case_Number,Case_NumberAlt,Reported_Date,Occurred_Date,NIBRS_Crime_Against,Offense_Category,Offense,Problem_Initial,Problem_Final,Address,Precinct,Neighborhood,Latitude,Longitude,Date_Occurred,Time_Occurred,Date_Reported,Time_Reported
83739,20-259801,MP2020259801,2020-10-08 20:53:00+00:00,2019-12-25 21:00:00+00:00,Person ,Sex Offenses ,Sex Offenses,Crim Sex Conduct/Report (P),Crim Sex Conduct/Report (P),0040XX 19TH AVE S,3.0,Standish,44.92962,-93.2448,2019-12-25,21:00:00,2020-10-08,20:53:00
83834,22-100569,MP2022100569,2022-05-11 16:44:00+00:00,2022-05-11 15:50:00+00:00,Property ,Destruction/Damage/Vandalism of Property ,Destruction/Damage/Vandalism of Property ,Domestic Abuse-In Progress (P)~PD,Damage Property-In Progress(P),0032XX 37TH ST E,3.0,Standish,44.93595,-93.22609,2022-05-11,15:50:00,2022-05-11,16:44:00
83853,19-088845,MP201988845,2019-03-29 15:19:00+00:00,2019-03-22 15:00:00+00:00,Person ,Assault Offenses ,Simple Assault ,On Site (P),Assault Report Only (P),0041XX 24TH AVE S,3.0,Standish,44.9278,-93.2372,2019-03-22,15:00:00,2019-03-29,15:19:00
84020,20-249188,MP2020249188,2020-09-26 22:59:00+00:00,2020-09-26 22:00:00+00:00,Property ,Robbery ,Robbery ,Auto Theft in Progress (P),Auto Theft in Progress (P),0040XX LONGFELLOW AVE,3.0,Standish,44.92962,-93.24606,2020-09-26,22:00:00,2020-09-26,22:59:00
84088,20-707005,MP2020707005,2020-10-16 11:09:00+00:00,2020-10-10 20:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft From Motor Vehicle ,,,0040XX 19TH AVE S,3.0,Standish,44.92962,-93.2448,2020-10-10,20:00:00,2020-10-16,11:09:00
84432,20-704565,MP2020704565,2020-08-02 11:03:00+00:00,2020-08-01 04:00:00+00:00,Property ,Destruction/Damage/Vandalism of Property ,Destruction/Damage/Vandalism of Property ,,,0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2020-08-01,04:00:00,2020-08-02,11:03:00
84749,20-143443,MP2020143443,2020-05-28 08:14:00+00:00,2020-05-27 18:30:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Business - Report (P),Burglary Business - Report (P),0018XX 38TH ST E,3.0,Standish,44.93411,-93.2467,2020-05-27,18:30:00,2020-05-28,08:14:00
84751,20-064253,MP202064253,2020-03-10 07:52:00+00:00,2020-03-09 18:00:00+00:00,Property ,Destruction/Damage/Vandalism of Property ,Destruction/Damage/Vandalism of Property ,Damage Property-Rpt Only (P),Damage Property-Rpt Only (P),0040XX 20TH AVE S,3.0,Standish,44.92962,-93.24353,2020-03-09,18:00:00,2020-03-10,07:52:00
84822,20-067756,MP202067756,2020-03-13 19:08:00+00:00,2020-03-13 14:40:00+00:00,Property ,Larceny/Theft Offenses ,Theft From Motor Vehicle ,Theft - Report Only (P),Theft - Report Only (P),0041XX CEDAR AVE S,3.0,Standish,44.92781,-93.24732,2020-03-13,14:40:00,2020-03-13,19:08:00
85209,21-250210,MP2021250210,2021-10-30 15:15:00+00:00,2021-10-29 23:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft of Motor Vehicle Parts or Accessories ,Theft - Report Only (P),Theft - Report Only (P),0038XX 22ND AVE S,3.0,Standish,44.93321,-93.24099,2021-10-29,23:00:00,2021-10-30,15:15:00
85724,19-083887,MP201983887,2019-03-24 22:51:00+00:00,2019-03-24 12:30:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng - Report (P),Burglary Dwlng - Report (P),0039XX 28TH AVE S,3.0,Standish,44.9314,-93.23211,2019-03-24,12:30:00,2019-03-24,22:51:00
85738,20-700448,MP2020700448,2020-01-23 12:49:00+00:00,2020-01-19 20:30:00+00:00,Property ,Larceny/Theft Offenses ,Theft From Motor Vehicle ,,,0019XX 37TH ST E,3.0,Standish,44.93592,-93.24418,2020-01-19,20:30:00,2020-01-23,12:49:00
85751,20-121450,MP2020121450,2020-05-07 15:59:00+00:00,2020-05-07 15:20:00+00:00,Property ,Destruction/Damage/Vandalism of Property ,Destruction/Damage/Vandalism of Property ,Suspicious Vehicle (P),Receive Information (P),0019XX 37TH ST E,3.0,Standish,44.93592,-93.24418,2020-05-07,15:20:00,2020-05-07,15:59:00
